Time,"Charlotte - Tenth St, Pedestrians","Charlotte - Pecan Ave, Pedestrians","Charlotte - South Tryon Rd, Pedestrians","Charlotte - North Tryon Rd, Pedestrians","Charlotte - Stonewall St, Pedestrians","Charlotte - University City Blvd, Pedestrians","Charlotte - Selwyn Ave, Pedestrians","Charlotte - 4th St Extension, Pedestrians","Charlotte - Elizabeth Ave, Pedestrians","Charlotte - Blue Line Trail, Pedestrians"
27-10-2016 00:00:00,,,,,,,259,,,
28-10-2016 00:00:00,,,,,,,294,,,
29-10-2016 00:00:00,,,,,508,,465,145,,
30-10-2016 00:00:00,,,,,370,,364,140,,
31-10-2016 00:00:00,,,,,361,,322,117,,
01-11-2016 00:00:00,,,,,321,,294,88,,
02-11-2016 00:00:00,,,,,352,,334,136,,
03-11-2016 00:00:00,,,,,245,,262,89,,
04-11-2016 00:00:00,,,,1128,268,,270,127,,
05-11-2016 00:00:00,,561,,740,270,,426,615,411,
06-11-2016 00:00:00,,545,,800,200,,465,145,229,
07-11-2016 00:00:00,,493,,800,248,,223,127,722,
08-11-2016 00:00:00,,337,,814,225,,261,117,808,
09-11-2016 00:00:00,,358,,799,278,,285,88,756,
10-11-2016 00:00:00,,282,,850,323,,230,118,731,
11-11-2016 00:00:00,,439,,877,248,,273,115,450,
12-11-2016 00:00:00,,506,,931,352,,362,152,265,
13-11-2016 00:00:00,,208,,731,247,,153,106,138,
14-11-2016 00:00:00,,398,,847,218,,276,106,581,
15-11-2016 00:00:00,,378,,730,260,,239,58,732,
16-11-2016 00:00:00,,233,,701,206,,274,74,668,
17-11-2016 00:00:00,,280,,737,260,,196,88,689,
18-11-2016 00:00:00,,406,,852,234,,,112,427,
19-11-2016 00:00:00,,398,,585,236,,,,251,
20-11-2016 00:00:00,,393,,756,143,,,,143,
21-11-2016 00:00:00,,292,,655,149,,,58,569,
22-11-2016 00:00:00,,241,,683,151,,,63,617,
23-11-2016 00:00:00,,333,,797,159,,,60,443,
24-11-2016 00:00:00,,206,,752,159,,,110,125,
25-11-2016 00:00:00,,312,,635,172,,,103,175,
26-11-2016 00:00:00,,320,,582,146,,,94,136,
27-11-2016 00:00:00,,266,,718,158,,,88,176,
28-11-2016 00:00:00,,226,,695,167,,,69,629,
29-11-2016 00:00:00,,211,,698,144,,,66,502,
30-11-2016 00:00:00,,218,,725,165,,,63,599,
01-12-2016 00:00:00,,262,,798,223,,,108,689,
02-12-2016 00:00:00,,272,,765,190,,,58,489,
03-12-2016 00:00:00,,350,,510,250,,,64,379,
04-12-2016 00:00:00,,113,,430,58,,111,34,72,
05-12-2016 00:00:00,,179,,727,138,,203,64,545,
06-12-2016 00:00:00,,124,,488,112,,60,35,340,
07-12-2016 00:00:00,,264,,726,291,,247,78,529,
08-12-2016 00:00:00,,242,,743,173,,210,62,542,
09-12-2016 00:00:00,,245,,653,134,,153,48,468,
10-12-2016 00:00:00,,348,,486,169,,251,94,206,
11-12-2016 00:00:00,,158,,563,180,,211,67,103,
12-12-2016 00:00:00,,256,,684,215,,176,57,329,
13-12-2016 00:00:00,,188,,745,189,,173,57,298,
14-12-2016 00:00:00,,240,,722,192,,193,71,377,
15-12-2016 00:00:00,,215,,632,163,,178,39,298,
16-12-2016 00:00:00,,157,,640,120,,99,29,207,
17-12-2016 00:00:00,,307,,627,119,,187,61,169,
18-12-2016 00:00:00,,298,,643,140,,234,82,142,
19-12-2016 00:00:00,,174,,577,100,,92,43,181,
